name,type,value,date
A Heroine of '76,Lois Weber,1,1911
The Martyr,Lois Weber,1,1911
On the Brink,Lois Weber,1,1911
The Realization,Lois Weber,1,1911
A Breach of Faith,Lois Weber,2,1911
The Heiress,Lois Weber,1,1911
From Death to Life,Lois Weber,1,1911
The Price,Lois Weber,1,1911
The Twins,Lois Weber,1,1911
Fate,Lois Weber,1,1911
Leaves in the Storm,Lois Weber,2,1912
Faraway Fields,Lois Weber,2,1912
The Greater Love,Lois Weber,2,1912
Fine Feathers,Lois Weber,1,1912
Angels Unaware,Lois Weber,1,1912
The Price of Peace,Lois Weber,1,1912
The Power of Thought,Lois Weber,2,1912
The Bargain,Lois Weber,1,1912
An Old Fashioned Girl,Lois Weber,1,1912
A Japanese Idyll,Lois Weber,1,1912
The Troubadour's Triumph,Lois Weber,1,1912
The Greater Christian,Lois Weber,1,1912
Eyes That See Not,Lois Weber,1,1912
The Final Pardon,Lois Weber,1,1912
The Wife's Deceit,Lois Weber,1,1913
Until Death,Lois Weber,2,1913
The Thumb Print,Lois Weber,1,1913
His Brand,Lois Weber,2,1913
The Dragon's Breath,Lois Weber,1,1913
The Cap of Destiny,Lois Weber,1,1913
The Fallen Angel,Lois Weber,1,1913
His Sister,Lois Weber,1,1913
In the Blood,Lois Weber,1,1913
Memories,Lois Weber,5,1913
The Haunted Bride,Lois Weber,2,1913
Two Thieves,Lois Weber,1,1913
The Pretender,Lois Weber,3,1913
How Men Propose,Lois Weber,2,1913
Shadows of Life,Lois Weber,2,1913
The Clue,Lois Weber,1,1913
The Rosary,Lois Weber,1,1913
Through Strife,Lois Weber,1,1913
The Peacemaker,Lois Weber,1,1913
The Mask,Lois Weber,3,1913
The Trifler,Lois Weber,1,1913
A Book of Verses,Lois Weber,1,1913
The King Can Do No Wrong,Lois Weber,1,1913
The Blood Brotherhood,Lois Weber,2,1913
Civilized and Savage,Lois Weber,1,1913
An Empty Box,Lois Weber,1,1913
The Jew's Christmas,Lois Weber,3,1913
Suspense,Lois Weber,2,1913
Two Thieves and a Cross,Lois Weber,2,1913
Never Again,Lois Weber,1,1913
The Poverty of Riches,Lois Weber,1,1913
Troubled Waters,Lois Weber,1,1913
James Lee's Wife,Lois Weber,2,1913
The Light Woman,Lois Weber,2,1913
Bobby's Baby,Lois Weber,1,1913
Just in Time,Lois Weber,2,1913
An Old Locket,Lois Weber,1,1914
A Fool and His Money,Lois Weber,2,1914
The Spider and Her Web,Lois Weber,2,1914
Plain Mary,Lois Weber,1,1914
A Modern Fairy Tale,Lois Weber,1,1914
The Pursuit of Hate,Lois Weber,2,1914
The Merchant of Venice,Lois Weber,3,1914
Woman's Burden,Lois Weber,3,1914
Daisies,Lois Weber,1,1914
An Episode,Lois Weber,2,1914
The Coward Hater,Lois Weber,2,1914
The Female of the Species,Lois Weber,2,1914
The Triumph of Mind,Lois Weber,4,1914
The Baby's Doll,Lois Weber,3,1914
The Man Who Slept,Lois Weber,2,1914
Closed Gates,Lois Weber,1,1914
The Leper's Coat,Lois Weber,2,1914
The Stone in the Road,Lois Weber,2,1914
The Traitor,Lois Weber,0,1914
